antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'frozen fish'}),frozenset({'whole milk'}),0.025917372,0.45804465,0.014370028,0.554455446,1.210483401,0.002498714,1.216388675
frozenset({'frozen meals'}),frozenset({'whole milk'}),0.062868873,0.45804465,0.032589171,0.518367347,1.131696107,0.00379242,1.125246278
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.102643059,0.45804465,0.055170644,0.5375,1.173466387,0.00815554,1.171795352
frozenset({'grapes'}),frozenset({'whole milk'}),0.054914036,0.45804465,0.028483449,0.518691589,1.13240399,0.003330368,1.12600432
frozenset({'ham'}),frozenset({'whole milk'}),0.063382089,0.45804465,0.036951501,0.582995951,1.272792842,0.007919674,1.2996405
frozenset({'hamburger meat'}),frozenset({'whole milk'}),0.080318193,0.45804465,0.045419554,0.565495208,1.234585336,0.008630235,1.247294299
frozenset({'hard cheese'}),frozenset({'whole milk'}),0.053374391,0.45804465,0.027713626,0.519230769,1.133581125,0.003265772,1.127267129
frozenset({'herbs'}),frozenset({'whole milk'}),0.03926097,0.45804465,0.021041827,0.535947712,1.170077443,0.00305855,1.167875614
frozenset({'house keeping products'}),frozenset({'whole milk'}),0.011547344,0.45804465,0.007698229,0.666666667,1.455462185,0.00240903,1.625866051
frozenset({'hygiene articles'}),frozenset({'whole milk'}),0.052091352,0.45804465,0.027200411,0.522167488,1.139992549,0.003340245,1.134195218
frozenset({'ice cream'}),frozenset({'whole milk'}),0.056453682,0.45804465,0.030279702,0.536363636,1.170985485,0.004421395,1.168923305
frozenset({'instant coffee'}),frozenset({'other vegetables'}),0.015139851,0.376700026,0.008468052,0.559322034,1.484794255,0.00276487,1.41441148
frozenset({'ketchup'}),frozenset({'other vegetables'}),0.008211445,0.376700026,0.004105722,0.5,1.327316076,0.001012471,1.246599949
frozenset({'ketchup'}),frozenset({'whole milk'}),0.008211445,0.45804465,0.004618938,0.5625,1.228046218,0.000857729,1.238755086
frozenset({'light bulbs'}),frozenset({'whole milk'}),0.007185014,0.45804465,0.00436233,0.607142857,1.325510204,0.001071273,1.37952271
frozenset({'liquor'}),frozenset({'whole milk'}),0.026430588,0.45804465,0.016679497,0.631067961,1.37774333,0.004573108,1.468984239
frozenset({'liquor (appetizer)'}),frozenset({'soda'}),0.017192712,0.313317937,0.00872466,0.507462687,1.619641351,0.003337875,1.394172674
frozenset({'liquor (appetizer)'}),frozenset({'whole milk'}),0.017192712,0.45804465,0.009494483,0.552238806,1.205644049,0.001619453,1.210366949
frozenset({'margarine'}),frozenset({'whole milk'}),0.117013087,0.45804465,0.059532974,0.50877193,1.110747457,0.005935756,1.103266249
frozenset({'mayonnaise'}),frozenset({'whole milk'}),0.018988966,0.45804465,0.009751091,0.513513514,1.121099251,0.001053296,1.114019331
frozenset({'meat'}),frozenset({'whole milk'}),0.063638696,0.45804465,0.03489864,0.548387097,1.197235023,0.005749276,1.20004399
frozenset({'meat spreads'}),frozenset({'whole milk'}),0.008981268,0.45804465,0.007185014,0.8,1.746554622,0.003071193,2.709776751
frozenset({'mustard'}),frozenset({'whole milk'}),0.023351296,0.45804465,0.014113421,0.604395604,1.31951242,0.003417484,1.369942691
frozenset({'napkins'}),frozenset({'whole milk'}),0.081344624,0.45804465,0.043110085,0.529968454,1.157023567,0.005850615,1.153019101
frozenset({'newspapers'}),frozenset({'whole milk'}),0.139851168,0.45804465,0.072363356,0.517431193,1.129652301,0.008305277,1.123063368
frozenset({'nut snack'}),frozenset({'other vegetables'}),0.005645368,0.376700026,0.003079292,0.545454545,1.447981174,0.000952681,1.371259944
frozenset({'nut snack'}),frozenset({'rolls/buns'}),0.005645368,0.349756223,0.003079292,0.545454545,1.55952778,0.001104789,1.43053631
frozenset({'nut snack'}),frozenset({'whole milk'}),0.005645368,0.45804465,0.003592507,0.636363636,1.389304813,0.001006676,1.490377213
frozenset({'nuts/prunes'}),frozenset({'whole milk'}),0.008468052,0.45804465,0.004875545,0.575757576,1.256990069,0.000996799,1.277466183
frozenset({'oil'}),frozenset({'whole milk'}),0.055683859,0.45804465,0.030279702,0.543778802,1.187174225,0.004774008,1.187922333
frozenset({'onions'}),frozenset({'whole milk'}),0.076212471,0.45804465,0.039774185,0.521885522,1.139376963,0.004865471,1.133526331
frozenset({'organic sausage'}),frozenset({'whole milk'}),0.005645368,0.45804465,0.003335899,0.590909091,1.290068755,0.000750069,1.324779745
frozenset({'pot plants'}),frozenset({'other vegetables'}),0.029766487,0.376700026,0.015139851,0.50862069,1.350200836,0.003926815,1.268470123
frozenset({'potato products'}),frozenset({'other vegetables'}),0.005645368,0.376700026,0.002822684,0.5,1.327316076,0.000696074,1.246599949
frozenset({'skin care'}),frozenset({'other vegetables'}),0.005132153,0.376700026,0.002566076,0.5,1.327316076,0.000632794,1.246599949
frozenset({'syrup'}),frozenset({'other vegetables'}),0.005388761,0.376700026,0.002822684,0.523809524,1.390521604,0.000792738,1.308929946
frozenset({'tea'}),frozenset({'other vegetables'}),0.006928406,0.376700026,0.004105722,0.592592593,1.57311535,0.001495791,1.529918119
frozenset({'tidbits'}),frozenset({'other vegetables'}),0.005645368,0.376700026,0.002822684,0.5,1.327316076,0.000696074,1.246599949
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.376700026,0.45804465,0.191429305,0.508174387,1.109442905,0.018883873,1.101925837
frozenset({'pastry'}),frozenset({'whole milk'}),0.177315884,0.45804465,0.090839107,0.512301013,1.118452128,0.009620515,1.111249694
