antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'instant food products'}),frozenset({'soda'}),0.015396459,0.313317937,0.007954837,0.516666667,1.649017199,0.00313085,1.42072151
frozenset({'instant food products'}),frozenset({'whole milk'}),0.015396459,0.45804465,0.007954837,0.516666667,1.127983193,0.000902571,1.121286932
frozenset({'uht-milk'}),frozenset({'whole milk'}),0.07852194,0.45804465,0.040544008,0.516339869,1.127269731,0.004577454,1.120529305
frozenset({'abrasive cleaner'}),frozenset({'rolls/buns'}),0.005645368,0.349756223,0.002822684,0.5,1.429567131,0.000848181,1.300487555
frozenset({'artif. sweetener'}),frozenset({'other vegetables'}),0.007441622,0.376700026,0.003849115,0.517241379,1.373085596,0.001045856,1.291121375
frozenset({'artif. sweetener'}),frozenset({'whole milk'}),0.007441622,0.45804465,0.004618938,0.620689655,1.355085482,0.001210343,1.428791378
frozenset({'bathroom cleaner'}),frozenset({'other vegetables'}),0.00436233,0.376700026,0.002566076,0.588235294,1.561548325,0.000922787,1.513728509
frozenset({'bathroom cleaner'}),frozenset({'whole milk'}),0.00436233,0.45804465,0.003079292,0.705882353,1.541077608,0.00108115,1.842648191
frozenset({'beef'}),frozenset({'whole milk'}),0.119579163,0.45804465,0.064151912,0.536480687,1.171241029,0.009379316,1.169218487
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.158840133,0.45804465,0.085450346,0.537964459,1.17448039,0.012694473,1.172973293
frozenset({'bottled water'}),frozenset({'whole milk'}),0.21375417,0.45804465,0.112394149,0.525810324,1.147945565,0.014485195,1.142908372
frozenset({'brandy'}),frozenset({'whole milk'}),0.009751091,0.45804465,0.006158584,0.631578947,1.378858912,0.001692149,1.471021665
frozenset({'brown bread'}),frozenset({'whole milk'}),0.136002053,0.45804465,0.06979728,0.513207547,1.120431267,0.007502267,1.11331913
frozenset({'butter'}),frozenset({'whole milk'}),0.12650757,0.45804465,0.066204773,0.523326572,1.142523054,0.008258657,1.136953139
frozenset({'cake bar'}),frozenset({'whole milk'}),0.022838081,0.45804465,0.012317167,0.539325843,1.177452554,0.001856306,1.176439663
frozenset({'candles'}),frozenset({'whole milk'}),0.016936105,0.45804465,0.008981268,0.53030303,1.157754011,0.001223775,1.153840423
frozenset({'candy'}),frozenset({'whole milk'}),0.053887606,0.45804465,0.029253272,0.542857143,1.185162065,0.004570342,1.185527329
frozenset({'canned beer'}),frozenset({'whole milk'}),0.164998717,0.45804465,0.086989992,0.527216174,1.151014807,0.011413213,1.146306876
frozenset({'canned fish'}),frozenset({'whole milk'}),0.029509879,0.45804465,0.015139851,0.513043478,1.120073073,0.001623009,1.112944023
frozenset({'canned fruit'}),frozenset({'other vegetables'}),0.005388761,0.376700026,0.003592507,0.666666667,1.769754768,0.001562561,1.869899923
frozenset({'canned fruit'}),frozenset({'soda'}),0.005388761,0.313317937,0.003079292,0.571428571,1.823797824,0.001390896,1.602258147
